firstname;lastname;street;city;zip;country
Yolanda;Waters;5263 Velit Ave;Houma;Y3O 9E2;Luxembourg
Quyn;Kelley;Ap #104-2113 Ligula Ave;Irwindale;90333;Canada
Lilah;Frye;P.O. Box 937, 8662 Non, Road;Kenner;U7U 7V0;Cyprus
Lysandra;Lyons;104-5488 Dolor Road;Palmdale;57281;Hong Kong
Jelani;Hester;491-6829 Et, Av.;Two Rivers;45414;Kuwait
Ignatius;Barlow;352-4334 Rutrum Road;Ventura;24753;South Africa
Tiger;Ross;Ap #732-8487 Egestas Road;Farmer City;47189;Nauru
Griffith;Harris;380 Mus. Road;Oxford;Y6N 4J0;Reunion
Castor;Wagner;222-1221 Nisl. Road;Compton;S7F 9O1;Malawi
Vincent;Marsh;284-107 Id Street;New Orleans;Q2O 9E2;Cambodia
Basia;Sanford;6775 Et Road;Newport Beach;K3P 3W7;Suriname
Rooney;Frederick;Ap #301-1520 A, St.;Franklin;U5Y 7P2;Trinidad and Tobago
Nehru;Barry;1455 Lectus St.;Rockville;N1Y 8Y6;Paraguay
Petra;Albert;Ap #942-473 Nunc Avenue;Alameda;V5G 6B4;Korea
Philip;Lewis;Ap #156-6474 Lectus Av.;Troy;78465;Burkina Faso
Hedy;Mack;813-3346 Nullam Street;Edina;D7J 7U8;Cape Verde
Kato;Harrington;1592 Metus. Road;Baldwin Park;77614;Croatia
Gary;Rowland;P.O. Box 121, 9914 Donec St.;Irwindale;C6Z 5G7;Germany
Idola;Fisher;Ap #674-6607 Ac Rd.;Richland;K5D 6X3;Uruguay
Noelani;Burnett;P.O. Box 226, 2269 Leo Av.;Jefferson City;U4S 1E0;Jordan
Jerome;Raymond;651-9268 Euismod St.;Spokane;L9Q 4I5;Austria
Ivy;Phillips;887 Nam Rd.;Anaconda;W4V 8Q8;Ghana
Blossom;Mcmahon;P.O. Box 911, 2202 Aliquam Street;Spokane;68591;Brazil
Angela;Mejia;P.O. Box 743, 9928 Et Avenue;Delta Junction;86673;Liberia
Armand;Herman;Ap #190-2650 Enim. Road;Tyler;15775;Uruguay
Sheila;Mclean;Ap #794-4229 Mauris Ave;Loudon;23680;Virgin Islands, British
Hadassah;Castillo;Ap #174-5768 Velit. Rd.;Rye;59536;Bhutan
Desirae;Leon;P.O. Box 305, 6005 Neque. Av.;Norwich;58027;Christmas Island
Daniel;Cameron;Ap #873-7079 Velit. Rd.;Clovis;67520;Egypt
Ginger;Farrell;P.O. Box 116, 3005 Laoreet, St.;Pittsburgh;02515;Gambia
Fiona;Rowland;157-5322 A Ave;Cairo;E8Y 7B9;Zambia
Indigo;Dotson;820-7929 Dolor Rd.;Bandon;V4A 9X3;Ethiopia
Noelle;Roth;4769 Vivamus St.;Edmond;Q1B 4E0;Guatemala
Lev;Evans;Ap #951-8837 Aliquet, St.;Parma;S1L 6Y7;United Kingdom
Mechelle;Matthews;418-624 Adipiscing, Av.;Mayagüez;15336;Portugal
Tara;Thomas;Ap #824-8705 Egestas Avenue;Cranston;O3Q 3E4;Chad
Shad;Young;472-6931 Dapibus Rd.;Whittier;V6T 2E4;Angola
Barrett;Gallagher;P.O. Box 892, 8233 Arcu Rd.;Grambling;B9S 3K8;Belize
Ifeoma;Vincent;476-8237 Luctus Av.;Redlands;K5J 6Y4;Pakistan
Dorian;Herman;195-7469 Orci Road;Richland;T4K 2I5;Monaco
Darrel;Delgado;Ap #331-3349 In Rd.;Truth or Consequences;82276;Tonga
Amaya;Bradford;358-1945 Dictum Road;Cape May;Y6W 1X3;Pakistan
Buffy;Meadows;428-627 A, Ave;Christiansted;W5G 6D1;Palestinian Territory, Occupied
Colton;Fuentes;Ap #378-7416 Donec Rd.;Batavia;I9I 2H0;Grenada
Ulla;Bruce;214-3558 Ut St.;Latrobe;77698;Gambia
